預測成長率,股票名稱,產業,代碼
0.31243164324814043,南亞科,半導體類,2408
0.24290454458248784,智原,半導體類,3035
0.2395966847874918,世芯-KY,半導體類,3661
0.23866353833417767,創意,半導體類,3443
0.22219554816747922,華新科,電子零組件類,2492
0.2145175284224911,友達,光電類,2409
0.202960478213379,南電,電子零組件類,8046
0.13186706023101147,華通,電子零組件類,2313
0.12882640325384395,技嘉,電腦及週邊設備類,2376
0.11154516488652444,緯創,電腦及週邊設備類,3231
0.10299191416709225,潤泰新,其他類,9945
0.09048943887987108,金寶,其他電子類,2312
0.08857447870850255,華碩,電腦及週邊設備類,2357
0.0666140237949956,士電,電機機械類,1503
0.05479718439188147,和潤企業,其他類,6592
0.040567855150775066,遠傳,通信網路類,4904
