股票名稱,代碼,產業
友達,2409,光電類
永豐金,2890,金融保險類
元大金,2885,金融保險類
中信金,2891,金融保險類
仁寶,2324,電腦及週邊設備類
遠東新,1402,紡織纖維類
亞泥,1102,水泥類
聯電,2303,半導體類
宏碁,2353,電腦及週邊設備類
華新,1605,電器電纜類
兆豐金,2886,金融保險類
正新,2105,橡膠類
英業達,2356,電腦及週邊設備類
大成鋼,2027,鋼鐵類
大聯大,3702,電子通路類
和碩,4938,電腦及週邊設備類
聯強,2347,電子通路類
興富發,2542,建材營造類
京元電子,2449,半導體類
南亞,1303,塑膠類
光寶科,2301,電腦及週邊設備類
京城銀,2809,金融保險類
鴻海,2317,其他電子類
日月光投控,3711,半導體類
台塑,1301,塑膠類
緯創,3231,電腦及週邊設備類
臻鼎-KY,4958,電子零組件類
潤泰全,2915,貿易百貨類
文曄,3036,電子通路類
群光,2385,電子零組件類
力成,6239,半導體類
東和鋼鐵,2006,鋼鐵類
遠雄,5522,建材營造類
微星,2377,電腦及週邊設備類
可成,2474,其他電子類
神基,3005,電腦及週邊設備類
健鼎,3044,電子零組件類
廣達,2382,電腦及週邊設備類
瑞儀,6176,光電類
啟碁,6285,通信網路類
中保科,9917,其他類
技嘉,2376,電腦及週邊設備類
華碩,2357,電腦及週邊設備類
聯詠,3034,半導體類
南電,8046,電子零組件類
瑞昱,2379,半導體類
聚陽,1477,紡織纖維類
台光電,2383,電子零組件類
聯發科,2454,半導體類
貿聯-KY,3665,其他電子類
